City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
567,sur,OM,broken clouds,84.07,22.57,59.53,Sur Plaza Hotel
568,meulaboh,ID,overcast clouds,77.23,4.14,96.13,Kost Pria
569,cardston,CA,broken clouds,71.01,49.2,-113.3,Flamingo Motel
571,luwero,UG,broken clouds,65.01,0.85,32.47,Nimrod Hotel
572,hatillo,PR,clear sky,89.01,18.49,-66.83,Hotel Parador El Buen Cafe
573,alexandria,EG,scattered clouds,75.2,31.22,29.96,Mediterranean Azur Hotel
575,antalaha,MG,clear sky,69.78,-14.9,50.28,Hotel Vitasoa
578,acajutla,SV,scattered clouds,84.99,13.59,-89.83,Stop.
579,kazanskaya,RU,clear sky,65.98,45.41,40.44,Kazach'ya
580,la cruz,MX,clear sky,87.82,23.92,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
581,shingu,JP,overcast clouds,73.99,33.73,135.98,Shingu UI Hotel
583,yuancheng,CN,overcast clouds,72.97,36.65,107.79,
586,takestan,IR,clear sky,73.4,36.07,49.7,baghdadi hotelهتل و رستوران بغدادی
588,bereda,ES,broken clouds,63.0,43.27,-7.54,Pazo de Verdes
589,majenang,ID,broken clouds,71.82,-7.3,108.76,Bpk.Yuswoyo Family
