City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Doda,33.13,75.57,71.4,58,93,0.76,IN,2020-06-24 23:15:26
71,Upernavik,72.79,-56.15,34.9,88,38,1.19,GL,2020-06-24 23:15:24
72,Salalah,17.02,54.09,82.4,94,44,9.17,OM,2020-06-24 23:15:26
73,Nikolskoye,59.7,30.79,64.4,68,60,4.47,RU,2020-06-24 23:15:26
74,Haines Junction,60.75,-137.51,56.82,38,64,11.99,CA,2020-06-24 23:15:26
75,Acapulco,16.86,-99.89,87.8,58,90,9.17,MX,2020-06-24 23:11:30
76,Kapaa,22.08,-159.32,82.4,65,1,9.17,US,2020-06-24 23:15:27
77,Narsaq,60.92,-46.05,44.6,75,100,3.36,GL,2020-06-24 23:10:30
78,Terrace,54.52,-128.6,71.6,30,75,10.29,CA,2020-06-24 23:15:27
79,Beni,0.5,29.47,61.66,100,9,2.35,CD,2020-06-24 23:15:27
80,Dingle,11.0,122.67,80.98,83,100,5.88,PH,2020-06-24 23:15:27
81,Foindu,7.41,-11.54,74.17,97,98,2.1,SL,2020-06-24 23:15:27
82,Wufeng,27.45,104.83,59.43,94,26,3.09,CN,2020-06-24 23:15:27
83,Barrow,71.29,-156.79,35.6,74,1,8.05,US,2020-06-24 23:15:28
84,Trelew,-43.25,-65.31,40.44,60,27,7.74,AR,2020-06-24 23:11:26
85,Coihaique,-45.58,-72.07,37.4,64,20,3.36,CL,2020-06-24 23:15:28
86,Atuona,-9.8,-139.03,79.32,70,30,14.23,PF,2020-06-24 23:14:22
87,La Baule-Escoublac,47.29,-2.36,73.4,73,0,5.82,FR,2020-06-24 23:15:28
88,Wajima,37.4,136.9,74.01,81,92,2.15,JP,2020-06-24 23:15:28
89,Sioux Lookout,50.1,-91.92,77.0,29,20,12.75,CA,2020-06-24 23:15:28
90,Ginda,30.69,78.49,62.89,83,8,2.71,IN,2020-06-24 23:15:28
91,Longyearbyen,78.22,15.64,42.8,87,90,2.24,SJ,2020-06-24 23:15:29
92,Saint-Philippe,-21.36,55.77,66.2,77,39,5.82,RE,2020-06-24 23:15:03
93,Abu Dhabi,24.47,54.37,90.0,75,31,6.93,AE,2020-06-24 23:13:38
94,Butaritari,3.07,172.79,83.73,77,87,12.73,KI,2020-06-24 23:14:41
95,Xian,34.26,108.93,78.01,64,0,4.47,CN,2020-06-24 23:15:29
96,Ballina,-28.87,153.57,57.0,76,0,1.12,AU,2020-06-24 23:15:29
97,Zeya,53.75,127.27,68.18,53,0,1.16,RU,2020-06-24 23:15:29
98,Jalu,29.03,21.55,75.78,51,0,14.16,LY,2020-06-24 23:15:30
99,Bengkulu,-3.8,102.27,76.71,69,98,2.26,ID,2020-06-24 23:15:30
100,Faanui,-16.48,-151.75,79.74,82,15,8.01,PF,2020-06-24 23:15:30
101,Cayenne,4.93,-52.33,78.8,100,28,6.2,GF,2020-06-24 23:15:17
102,Cherskiy,68.75,161.3,59.65,34,61,4.61,RU,2020-06-24 23:15:25
103,Cidreira,-30.18,-50.21,68.38,72,35,6.85,BR,2020-06-24 23:15:31
104,Berlevag,70.86,29.09,46.69,84,39,14.5,NO,2020-06-24 23:15:31
105,Riyadh,24.69,46.72,86.0,15,0,8.05,SA,2020-06-24 23:15:26
106,Ponta Do Sol,32.67,-17.1,69.8,73,20,10.29,PT,2020-06-24 23:15:31
107,Port Alfred,-33.59,26.89,69.01,30,0,8.99,ZA,2020-06-24 23:15:31
108,Altamira,-3.2,-52.21,77.47,76,77,1.92,BR,2020-06-24 23:14:08
109,Kihei,20.79,-156.47,87.8,55,40,18.34,US,2020-06-24 23:11:56
110,Bethel,41.37,-73.41,82.99,34,1,13.87,US,2020-06-24 23:14:38
111,Alenquer,-1.94,-54.74,80.6,83,20,4.29,BR,2020-06-24 23:15:32
112,East London,-33.02,27.91,68.61,26,0,7.05,ZA,2020-06-24 23:15:32
113,Visnes,59.36,5.22,63.0,87,0,6.93,NO,2020-06-24 23:15:33
114,Severnoye,56.35,78.36,51.01,91,74,4.36,RU,2020-06-24 23:15:33
115,Komsomolskiy,40.43,71.72,71.6,35,0,6.93,UZ,2020-06-24 23:15:33
116,Kampot,10.62,104.18,84.2,79,20,6.93,KH,2020-06-24 23:15:33
117,Loon Op Zand,51.64,5.05,71.6,46,15,9.17,NL,2020-06-24 23:15:34
118,Ngunguru,-35.62,174.5,55.0,99,28,3.0,NZ,2020-06-24 23:15:34
119,Zhaotong,27.32,103.72,61.16,91,12,2.37,CN,2020-06-24 23:15:34
120,Conde,-7.26,-34.91,77.0,78,20,8.05,BR,2020-06-24 23:15:34
121,Norman Wells,65.28,-126.83,51.8,81,90,10.29,CA,2020-06-24 23:15:34
122,Mildura,-34.2,142.15,42.8,100,90,5.82,AU,2020-06-24 23:15:34
123,Pimenta Bueno,-11.67,-61.19,76.1,72,0,2.55,BR,2020-06-24 23:15:34
124,Mount Gambier,-37.83,140.77,44.6,100,75,9.17,AU,2020-06-24 23:15:34
125,Hermanus,-34.42,19.23,59.97,58,0,5.17,ZA,2020-06-24 23:13:42
126,Lunenburg,44.38,-64.32,68.0,93,29,11.99,CA,2020-06-24 23:15:35
127,Luderitz,-26.65,15.16,62.6,33,0,4.7,NA,2020-06-24 23:15:35
128,Bambous Virieux,-20.34,57.76,70.0,88,75,11.41,MU,2020-06-24 23:15:31
129,Port Elizabeth,-33.92,25.57,53.6,50,0,5.82,ZA,2020-06-24 23:11:51
130,Tabory,58.52,64.55,46.89,97,83,6.51,RU,2020-06-24 23:15:35
131,Daru,-9.08,143.21,79.54,88,19,13.53,PG,2020-06-24 23:14:08
132,Montmagny,48.97,2.35,75.0,49,0,8.05,FR,2020-06-24 23:15:35
133,Fukue,32.69,128.84,78.55,91,84,20.96,JP,2020-06-24 23:15:36
134,Noumea,-22.28,166.46,72.0,68,59,3.36,NC,2020-06-24 23:13:58
135,Yicheng,31.37,119.87,72.0,93,100,2.93,CN,2020-06-24 23:15:36
136,Coquimbo,-29.95,-71.34,57.2,71,0,10.29,CL,2020-06-24 23:15:36
137,Kurmanayevka,52.51,52.07,54.34,95,100,7.25,RU,2020-06-24 23:15:36
138,Sorland,67.67,12.69,55.85,87,100,15.93,NO,2020-06-24 23:14:16
139,Bubaque,11.28,-15.83,82.62,82,100,11.83,GW,2020-06-24 23:15:36
140,Bilma,18.69,12.92,91.17,11,0,7.47,NE,2020-06-24 23:15:37
141,San Francisco,37.77,-122.42,73.0,60,20,17.22,US,2020-06-24 23:13:38
142,Lao Cai,22.48,103.95,80.58,76,100,1.92,VN,2020-06-24 23:15:37
143,Cockburn Town,21.46,-71.14,82.67,80,2,15.99,TC,2020-06-24 23:15:37
144,Paita,-5.09,-81.11,66.04,81,56,15.64,PE,2020-06-24 23:14:18
145,Uruguaiana,-29.75,-57.09,69.8,88,100,8.05,BR,2020-06-24 23:15:37
146,Jamestown,42.1,-79.24,68.0,45,1,17.22,US,2020-06-24 23:15:06
147,Saskylakh,71.92,114.08,82.31,27,1,7.14,RU,2020-06-24 23:15:37
148,Chuy,-33.7,-53.46,62.78,98,100,1.88,UY,2020-06-24 23:14:27
149,Tilichiki,60.47,166.1,61.97,51,31,8.63,RU,2020-06-24 23:15:37
150,Chebarkul,54.97,60.36,44.2,93,14,4.32,RU,2020-06-24 23:15:38
151,Byron Bay,-28.65,153.62,57.0,76,0,1.12,AU,2020-06-24 23:15:28
152,Tasiilaq,65.61,-37.64,39.2,86,100,3.36,GL,2020-06-24 23:15:38
153,Lavrentiya,65.58,-171.0,39.4,70,100,6.4,RU,2020-06-24 23:15:27
154,Dhidhdhoo,6.88,73.1,83.35,78,100,17.36,MV,2020-06-24 23:15:33
155,Devanhalli,13.23,77.7,71.6,88,40,10.29,IN,2020-06-24 23:15:38
156,Georgetown,5.41,100.34,78.8,88,20,5.82,MY,2020-06-24 23:15:39
157,Sola,-13.88,167.55,86.0,79,75,5.82,VU,2020-06-24 23:15:39
158,Vega De Alatorre,20.03,-96.63,81.91,78,100,8.93,MX,2020-06-24 23:14:20
159,Tuktoyaktuk,69.45,-133.04,44.6,79,40,9.17,CA,2020-06-24 23:15:39
160,Arroyo,41.61,-4.8,68.0,82,83,5.82,ES,2020-06-24 23:12:50
161,Taretan,19.33,-101.92,69.8,77,90,6.93,MX,2020-06-24 23:15:40
162,Bemidji,47.47,-94.88,77.0,40,1,4.7,US,2020-06-24 23:12:06
163,Soto La Marina,23.77,-98.22,86.0,70,100,8.01,MX,2020-06-24 23:15:40
164,Lagoa,39.05,-27.98,63.27,68,0,10.76,PT,2020-06-24 23:15:34
165,Kholm,59.27,32.85,60.76,64,49,4.65,RU,2020-06-24 23:15:40
166,Jackson,42.42,-122.83,86.0,35,1,6.93,US,2020-06-24 23:15:40
167,Moron,-34.65,-58.62,55.99,82,100,8.01,AR,2020-06-24 23:15:40
168,Svetlaya,46.54,138.33,52.57,94,100,2.84,RU,2020-06-24 23:15:41
169,Pizarro,4.95,-77.37,80.37,82,95,6.82,CO,2020-06-24 23:15:41
170,Diffa,13.32,12.61,86.83,19,14,10.04,NE,2020-06-24 23:15:41
171,Vista Hermosa,19.52,-99.22,64.4,63,90,6.93,MX,2020-06-24 23:15:41
172,Baghmara,23.8,86.21,83.3,74,82,6.44,IN,2020-06-24 23:15:41
173,Los Llanos De Aridane,28.66,-17.92,71.6,73,40,20.8,ES,2020-06-24 23:15:42
174,Mehamn,71.04,27.85,46.51,87,19,17.76,NO,2020-06-24 23:15:42
175,Bandarbeyla,9.49,50.81,81.75,67,0,24.49,SO,2020-06-24 23:15:42
176,Guerrero Negro,27.98,-114.06,72.66,59,8,16.71,MX,2020-06-24 23:15:42
177,Whitehorse,60.72,-135.05,62.01,30,75,14.99,CA,2020-06-24 23:13:35
178,Kushmurun,52.45,64.63,54.59,84,28,3.13,KZ,2020-06-24 23:15:42
179,Dikson,73.51,80.55,40.05,82,99,12.08,RU,2020-06-24 23:14:56
180,Vrangel,42.73,133.08,57.22,93,100,15.23,RU,2020-06-24 23:15:42
181,Lompoc,34.64,-120.46,69.01,72,94,13.87,US,2020-06-24 23:11:32
182,Saint-Paul,-21.01,55.27,71.6,64,4,12.75,RE,2020-06-24 23:15:43
183,Agadir,30.42,-9.6,69.8,83,7,4.7,MA,2020-06-24 23:15:43
184,Maarianhamina,60.1,19.93,55.4,100,0,1.12,AX,2020-06-24 23:15:43
185,Muravlenko,63.79,74.52,51.35,80,91,5.17,RU,2020-06-24 23:14:57
